Información relacionada a:,Primas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PRIMAS","MONTO BRUTO DE LAS PRIMAS","MONTO NETO DE LAS PRIMAS","TIPO DE MONEDA DE LAS PRIMAS","PERIODICIDAD DE LAS PRIMAS"
198432926,"11/08/22","11/08/22","PRIMA VACACIONAL","696.43","696.43","PESOS MEXICANOS","CUATRIMESTRAL"
198436581,"11/08/22","11/08/22","PRIMA VACACIONAL","4619.53","4619.53","PESOS MEXICANOS","CUATRIMESTRAL"
198435475,"11/08/22","11/08/22","PRIMA VACACIONAL","7176.02","7176.02","PESOS MEXICANOS","CUATRIMESTRAL"
198438286,"11/08/22","11/08/22","PRIMA VACACIONAL","202.33","202.33","PESOS MEXICANOS","CUATRIMESTRAL"
198436127,"11/08/22","11/08/22","PRIMA VACACIONAL","2463.16","2463.16","PESOS MEXICANOS","CUATRIMESTRAL"
198434622,"11/08/22","11/08/22","PRIMA VACACIONAL","6702.66","6702.66","PESOS MEXICANOS","CUATRIMESTRAL"
198433951,"11/08/22","11/08/22","PRIMA VACACIONAL","1245.83","1245.83","PESOS MEXICANOS","CUATRIMESTRAL"
198436121,"11/08/22","11/08/22","PRIMA VACACIONAL","3694.74","3694.74","PESOS MEXICANOS","CUATRIMESTRAL"
198436094,"11/08/22","11/08/22","PRIMA VACACIONAL","2548.59","2548.59","PESOS MEXICANOS","CUATRIMESTRAL"
198434900,"11/08/22","11/08/22","PRIMA VACACIONAL","909.02","909.02","PESOS MEXICANOS","CUATRIMESTRAL"
198436292,"11/08/22","11/08/22","PRIMA VACACIONAL","3152.26","3152.26","PESOS MEXICANOS","CUATRIMESTRAL"
198424635,"11/08/22","11/08/22","PRIMA VACACIONAL","216.03","216.03","PESOS MEXICANOS","CUATRIMESTRAL"
198420476,"11/08/22","11/08/22","PRIMA VACACIONAL","3098.48","3098.48","PESOS MEXICANOS","CUATRIMESTRAL"
198424690,"11/08/22","11/08/22","PRIMA VACACIONAL","196.59","196.59","PESOS MEXICANOS","CUATRIMESTRAL"
198422671,"11/08/22","11/08/22","PRIMA VACACIONAL","4269.57","4269.57","PESOS MEXICANOS","CUATRIMESTRAL"
198424199,"11/08/22","11/08/22","PRIMA VACACIONAL","420.64","420.64","PESOS MEXICANOS","CUATRIMESTRAL"
198426260,"11/08/22","11/08/22","PRIMA VACACIONAL","3704.85","3704.85","PESOS MEXICANOS","CUATRIMESTRAL"
198422770,"11/08/22","11/08/22","PRIMA VACACIONAL","938","938","PESOS MEXICANOS","CUATRIMESTRAL"
198424943,"11/08/22","11/08/22","PRIMA VACACIONAL","234.26","234.26","PESOS MEXICANOS","CUATRIMESTRAL"
198415328,"11/08/22","11/08/22","PRIMA VACACIONAL","5135.19","5135.19","PESOS MEXICANOS","CUATRIMESTRAL"
198415331,"11/08/22","11/08/22","PRIMA VACACIONAL","1848.22","1848.22","PESOS MEXICANOS","CUATRIMESTRAL"
198415333,"11/08/22","11/08/22","PRIMA VACACIONAL","7685.53","7685.53","PESOS MEXICANOS","CUATRIMESTRAL"
198415334,"11/08/22","11/08/22","PRIMA VACACIONAL","7782.85","7782.85","PESOS MEXICANOS","CUATRIMESTRAL"
198415336,"11/08/22","11/08/22","PRIMA VACACIONAL","4435.73","4435.73","PESOS MEXICANOS","CUATRIMESTRAL"
198415349,"11/08/22","11/08/22","PRIMA VACACIONAL","978.64","978.64","PESOS MEXICANOS","CUATRIMESTRAL"
198415350,"11/08/22","11/08/22","PRIMA VACACIONAL","17061.33","17061.33","PESOS MEXICANOS","CUATRIMESTRAL"
198415351,"11/08/22","11/08/22","PRIMA VACACIONAL","1095.41","1095.41","PESOS MEXICANOS","CUATRIMESTRAL"
198415352,"11/08/22","11/08/22","PRIMA VACACIONAL","3705.92","3705.92","PESOS MEXICANOS","CUATRIMESTRAL"
198415353,"11/08/22","11/08/22","PRIMA VACACIONAL","12296.29","12296.29","PESOS MEXICANOS","CUATRIMESTRAL"
198415354,"11/08/22","11/08/22","PRIMA VACACIONAL","25474.67","25474.67","PESOS MEXICANOS","CUATRIMESTRAL"
198415337,"11/08/22","11/08/22","PRIMA VACACIONAL","3855.24","3855.24","PESOS MEXICANOS","CUATRIMESTRAL"
198415356,"11/08/22","11/08/22","PRIMA VACACIONAL","2099.06","2099.06","PESOS MEXICANOS","CUATRIMESTRAL"
198415355,"11/08/22","11/08/22","PRIMA VACACIONAL","6210.03","6210.03","PESOS MEXICANOS","CUATRIMESTRAL"
198415340,"11/08/22","11/08/22","PRIMA VACACIONAL","1720.03","1720.03","PESOS MEXICANOS","CUATRIMESTRAL"
198415341,"11/08/22","11/08/22","PRIMA VACACIONAL","1267.36","1267.36","PESOS MEXICANOS","CUATRIMESTRAL"
198415342,"11/08/22","11/08/22","PRIMA VACACIONAL","9749.34","9749.34","PESOS MEXICANOS","CUATRIMESTRAL"
198415338,"11/08/22","11/08/22","PRIMA VACACIONAL","3024.36","3024.36","PESOS MEXICANOS","CUATRIMESTRAL"
198415330,"11/08/22","11/08/22","PRIMA VACACIONAL","2184.26","2184.26","PESOS MEXICANOS","CUATRIMESTRAL"
198415324,"11/08/22","11/08/22","PRIMA VACACIONAL","2217.88","2217.88","PESOS MEXICANOS","CUATRIMESTRAL"
198415325,"11/08/22","11/08/22","PRIMA VACACIONAL","17061.33","17061.33","PESOS MEXICANOS","CUATRIMESTRAL"
198415326,"11/08/22","11/08/22","PRIMA VACACIONAL","2738.53","2738.53","PESOS MEXICANOS","CUATRIMESTRAL"
198415323,"11/08/22","11/08/22","PRIMA VACACIONAL","7452.3","7452.3","PESOS MEXICANOS","CUATRIMESTRAL"
198415343,"11/08/22","11/08/22","PRIMA VACACIONAL","9227.18","9227.18","PESOS MEXICANOS","CUATRIMESTRAL"
198415345,"11/08/22","11/08/22","PRIMA VACACIONAL","8301.93","8301.93","PESOS MEXICANOS","CUATRIMESTRAL"
198415346,"11/08/22","11/08/22","PRIMA VACACIONAL","1512.18","1512.18","PESOS MEXICANOS","CUATRIMESTRAL"
198415347,"11/08/22","11/08/22","PRIMA VACACIONAL","11053.22","11053.22","PESOS MEXICANOS","CUATRIMESTRAL"
198415367,"11/08/22","11/08/22","PRIMA VACACIONAL","6168.38","6168.38","PESOS MEXICANOS","CUATRIMESTRAL"
198415357,"11/08/22","11/08/22","PRIMA VACACIONAL","2178.67","2178.67","PESOS MEXICANOS","CUATRIMESTRAL"
198415366,"11/08/22","11/08/22","PRIMA VACACIONAL","7219.64","7219.64","PESOS MEXICANOS","CUATRIMESTRAL"
198415372,"11/08/22","11/08/22","PRIMA VACACIONAL","19167.97","19167.97","PESOS MEXICANOS","CUATRIMESTRAL"
