Información relacionada a:,Prestaciones económicas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PRESTACIONES ECONÓMICAS","MONTO BRUTO DE LAS PRESTACIONES ECONÓMICAS","MONTO NETO DE LAS PRESTACIONES ECONÓMICAS","TIPO DE MONEDA DE LAS PRESTACIONES ECONÓMICAS","PERIODICIDAD DE LAS PRESTACIONES ECONÓMICAS"
198417068,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.,CLAUSULA QUINTA TRANSITORIA","126991.99","126991.99","PESOS MEXICANOS","ANUAL"
198417161,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","111284.54","111284.54","PESOS MEXICANOS","ANUAL"
198419564,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","46434.12","46434.12","PESOS MEXICANOS","ANUAL"
198417997,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","69375.16","69375.16","PESOS MEXICANOS","ANUAL"
198418130,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","5496.69","5496.69","PESOS MEXICANOS","ANUAL"
198416112,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.,CLAUSULA QUINTA TRANSITORIA","41340.56","41340.56","PESOS MEXICANOS","ANUAL"
198416682,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","40468.84","40468.84","PESOS MEXICANOS","ANUAL"
198416882,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","148379.39","148379.39","PESOS MEXICANOS","ANUAL"
198417987,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","29001.54","29001.54","PESOS MEXICANOS","ANUAL"
198418299,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","52326.11","52326.11","PESOS MEXICANOS","ANUAL"
198416687,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","18197.49","18197.49","PESOS MEXICANOS","ANUAL"
198417173,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","80317.46","80317.46","PESOS MEXICANOS","ANUAL"
198417886,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.,CLAUSULA QUINTA TRANSITORIA","148860.72","148860.72","PESOS MEXICANOS","ANUAL"
198418438,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","21089.86","21089.86","PESOS MEXICANOS","ANUAL"
198418692,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","20643.89","20643.89","PESOS MEXICANOS","ANUAL"
198418807,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","46368.56","46368.56","PESOS MEXICANOS","ANUAL"
198417082,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","2883.17","2883.17","PESOS MEXICANOS","ANUAL"
198417814,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","46434.12","46434.12","PESOS MEXICANOS","ANUAL"
198418067,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","37418.83","37418.83","PESOS MEXICANOS","ANUAL"
198418608,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","41478.38","41478.38","PESOS MEXICANOS","ANUAL"
198416895,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","111284.54","111284.54","PESOS MEXICANOS","ANUAL"
198417354,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","111284.54","111284.54","PESOS MEXICANOS","ANUAL"
198417572,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","36129.26","36129.26","PESOS MEXICANOS","ANUAL"
198418314,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","9051.96","9051.96","PESOS MEXICANOS","ANUAL"
198420332,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","31332.32","31332.32","PESOS MEXICANOS","ANUAL"
198416705,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","32216.18","32216.18","PESOS MEXICANOS","ANUAL"
198417205,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","1783.84","1783.84","PESOS MEXICANOS","ANUAL"
198419664,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","3518.24","3518.24","PESOS MEXICANOS","ANUAL"
198415586,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","10700.29","10700.29","PESOS MEXICANOS","ANUAL"
198415587,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","18854.16","18854.16","PESOS MEXICANOS","ANUAL"
198416921,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","46368.56","46368.56","PESOS MEXICANOS","ANUAL"
198418730,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","55963.27","55963.27","PESOS MEXICANOS","ANUAL"
198419719,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","2432.33","2432.33","PESOS MEXICANOS","ANUAL"
198415591,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","46785.7","46785.7","PESOS MEXICANOS","ANUAL"
