Información relacionada a:,Dietas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS DIETAS","MONTO BRUTO DE LAS DIETAS","MONTO NETO DE LAS DIETAS","TIPO DE MONEDA DE LAS DIETAS","PERIODICIDAD DE LAS DIETAS"
52172335,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172336,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172337,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172338,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172339,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172340,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172431,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172432,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172433,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172434,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
