Información relacionada a:,Sistemas de compensación, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS SISTEMAS DE COMPENSACIÓN","MONTO BRUTO DE LOS SISTEMAS DE COMPENSACIÓN","MONTO NETO DE LOS SISTEMAS DE COMPENSACIÓN","TIPO DE MONEDA DE LOS SISTEMAS DE COMPENSACIÓN","PERIODICIDAD DE LOS SISTEMAS DE COMPENSACIÓN"
1583468341,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468444,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468445,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583468446,"13/07/22","13/07/22","COMPENSACIÓN","2625.08","2625.08","MN","MENSUAL"
1583468655,"13/07/22","13/07/22","COMPENSACIÓN","13947.71","13947.71","MN","MENSUAL"
1583468657,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
1583468845,"13/07/22","13/07/22","COMPENSACIÓN","2589.82","2589.82","MN","MENSUAL"
1583468987,"13/07/22","13/07/22","COMPENSACIÓN","27031.63","27031.63","MN","MENSUAL"
1583468989,"13/07/22","13/07/22","COMPENSACIÓN","27031.63","27031.63","MN","MENSUAL"
1583469140,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583469281,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583469282,"13/07/22","13/07/22","COMPENSACIÓN","12733.99","12733.99","MN","MENSUAL"
1583469330,"13/07/22","13/07/22","COMPENSACIÓN","20683.27","20683.27","MN","MENSUAL"
1583469419,"13/07/22","13/07/22","COMPENSACIÓN","2625.08","2625.08","MN","MENSUAL"
1583469421,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583469470,"13/07/22","13/07/22","COMPENSACIÓN","11922.74","11922.74","MN","MENSUAL"
1583469558,"13/07/22","13/07/22","COMPENSACIÓN","27031.63","27031.63","MN","MENSUAL"
1583467457,"13/07/22","13/07/22","COMPENSACIÓN","14920.5","14920.5","MN","MENSUAL"
1583467459,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
1583467736,"13/07/22","13/07/22","COMPENSACIÓN","12864.94","12864.94","MN","MENSUAL"
1583467824,"13/07/22","13/07/22","COMPENSACIÓN","12733.99","12733.99","MN","MENSUAL"
1583468256,"13/07/22","13/07/22","COMPENSACIÓN","14493.55","14493.55","MN","MENSUAL"
1583468293,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468294,"13/07/22","13/07/22","COMPENSACIÓN","13302.75","13302.75","MN","MENSUAL"
1583468537,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583468659,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468660,"13/07/22","13/07/22","COMPENSACIÓN","17683.81","17683.81","MN","MENSUAL"
1583468759,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
1583468760,"13/07/22","13/07/22","COMPENSACIÓN","10238.47","10238.47","MN","MENSUAL"
1583468802,"13/07/22","13/07/22","COMPENSACIÓN","14493.55","14493.55","MN","MENSUAL"
1583468898,"13/07/22","13/07/22","COMPENSACIÓN","13362.1","13362.1","MN","MENSUAL"
1583468949,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
