Información relacionada a:,Ingresos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS INGRESOS","MONTO BRUTO DE LOS INGRESOS","MONTO NETO DE LOS INGRESOS","TIPO DE MONEDA DE LOS INGRESOS","PERIODICIDAD DE LOS INGRESOS"
1583468976,"13/07/22","13/07/22","SALARIO BASE","9681.98","9681.98","MN","MENSUAL"
1583468977,"13/07/22","13/07/22","SALARIO BASE","12115.5","12115.5","MN","MENSUAL"
1583469025,"13/07/22","13/07/22","SALARIO BASE","12115.5","12115.5","MN","MENSUAL"
1583469026,"13/07/22","13/07/22","SALARIO BASE","7835.82","7835.82","MN","MENSUAL"
1583469027,"13/07/22","13/07/22","SALARIO BASE","9681.98","9681.98","MN","MENSUAL"
1583469077,"13/07/22","13/07/22","SALARIO BASE","23182.75","23182.75","MN","MENSUAL"
1583469078,"13/07/22","13/07/22","SALARIO BASE","12115.5","12115.5","MN","MENSUAL"
1583469079,"13/07/22","13/07/22","SALARIO BASE","7835.82","7835.82","MN","MENSUAL"
1583469127,"13/07/22","13/07/22","SALARIO BASE","14662.72","14662.72","MN","MENSUAL"
1583469128,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583469129,"13/07/22","13/07/22","SALARIO BASE","20063.53","20063.53","MN","MENSUAL"
1583469174,"13/07/22","13/07/22","SALARIO BASE","12115.5","12115.5","MN","MENSUAL"
1583469175,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583469176,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583469217,"13/07/22","13/07/22","SALARIO BASE","22559.29","22559.29","MN","MENSUAL"
1583469218,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583469219,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583469267,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
