Información relacionada a:,Bonos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS BONOS","MONTO BRUTO DE LOS BONOS","MONTO NETO DE LOS BONOS","TIPO DE MONEDA DE LOS BONOS","PERIODICIDAD DE LOS BONOS"
51767338,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767192,"18/08/22","18/08/22","Herramientas de Trabajo","2000","2000","PESOS MEXICANOS","MENSUAL"
51767114,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767114,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767114,"18/08/22","18/08/22","Material Didáctico 9% sobre sueldo tabular","","","PESOS MEXICANOS","MENSUAL"
51767114,"18/08/22","18/08/22","Herramientas de Trabajo","18500","18500","PESOS MEXICANOS","MENSUAL"
51767114,"18/08/22","18/08/22","Despensa 7% sobre sueldo tabular","","","PESOS MEXICANOS","MENSUAL"
51767042,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767042,"18/08/22","18/08/22","Material Didáctico 9% sobre sueldo tabular","","","PESOS MEXICANOS","MENSUAL"
51767042,"18/08/22","18/08/22","Herramientas de Trabajo","3000","3000","PESOS MEXICANOS","MENSUAL"
51767535,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767535,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767380,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767380,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767380,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767374,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767374,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767374,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768096,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767666,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767253,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767253,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767253,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768090,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767660,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768422,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768422,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768422,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
